# Yale Bright Star Catalogue 5 - converted by bsc5_converter.py
# RA_deg, Dec_deg, Vmag, BV
13.926667,-7.347222,5.850,1.520
14.177083,60.716667,2.470,-0.150
14.165833,59.181111,4.630,0.960
14.196250,60.362778,5.550,-0.070
14.006250,-11.266667,5.310,1.520
13.981250,-27.775556,6.100,1.670
14.188333,38.499444,3.870,0.130
13.751250,-69.526944,5.450,1.090
14.301667,23.417500,4.420,0.940
14.415417,45.839722,6.120,1.020
14.629583,66.352222,5.970,-0.020
14.459167,28.992222,5.420,1.080
14.559167,33.950833,5.980,1.000
14.477083,13.695833,6.320,0.890
14.578750,21.404444,6.370,0.090
15.129167,70.983056,6.390,0.130
14.682917,-11.380000,5.610,0.970
14.651667,-29.357500,4.310,-0.160
14.593333,-60.696389,6.230,0.100
15.014167,44.711111,6.840,0.000
15.015000,44.713333,6.040,-0.010
14.957083,6.483056,6.110,1.670
17.186250,86.256944,4.250,1.210
23.460000,89.015556,6.460,0.110
15.576667,51.035000,6.470,0.000
15.326250,-38.916667,5.590,1.180
15.756250,47.376111,6.450,0.250
15.726250,41.345000,5.980,0.160
15.704583,31.804444,5.500,-0.050
15.904167,61.075000,5.920,0.490
15.610000,-31.551944,5.500,0.080
15.735833,7.890000,4.280,0.960
15.507500,-57.002500,6.110,0.940
15.760833,-4.836667,5.430,1.110
16.081667,61.580278,5.840,0.540
16.010000,52.502222,5.990,1.470
15.705000,-46.397500,5.360,0.900
15.823333,-29.525833,6.290,0.930
15.954167,1.366667,6.040,0.270
16.195000,51.010000,6.540,-0.080
16.115000,29.658611,6.190,0.430
15.678750,-65.456111,6.210,1.640
16.151667,39.991111,6.720,0.310
19.056250,87.145278,6.250,1.120
16.219167,5.656389,6.000,1.510
16.272500,14.946111,5.680,0.410
16.595000,62.761667,6.540,0.190
16.420417,21.473333,5.340,-0.030
16.423750,21.465278,5.560,-0.070
17.301250,80.011667,6.290,0.000
16.455000,4.908333,6.350,0.380
16.464167,4.909444,7.250,0.490
16.403333,-9.979167,6.120,1.010
16.750833,56.935000,6.430,1.180
16.521250,-9.839444,5.580,0.010
16.789583,53.498333,6.380,0.000
16.640000,12.956111,6.120,0.960
16.532083,-23.992500,6.140,1.090
17.068333,54.920278,5.170,0.690
16.520833,-46.718611,3.310,0.890
16.610417,-35.660833,6.610,0.140
17.003750,43.941944,5.030,0.110
